Process	GSsize	Group
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_UP	86	C2
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_DN	77	C2
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP	338	C2
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_DN	24	C2
BLANCO_MELO_COVID19_SARS_COV_2_LOW_MOI_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP	174	C2
BLANCO_MELO_COVID19_SARS_COV_2_LOW_MOI_INFECTION_A594_ACE2_EXPRESSING_CELLS_DN	14	C2
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP	542	C2
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_DN	96	C2
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_UP	483	C2
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_DN	76	C2
BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_UP	144	C2
BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_DN	58	C2
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_UP	378	C2
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_DN	216	C2
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_INFECTION_UP	136	C2
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_INFECTION_DN	81	C2
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_UP	644	C2
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN	187	C2
BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP	172	C2
BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_DN	175	C2
BUFFA_HYPOXIA_METAGENE	50	C2
NAKAMURA_CANCER_MICROENVIRONMENT_UP	28	C2
NAKAMURA_CANCER_MICROENVIRONMENT_DN	46	C2
WEST_ADRENOCORTICAL_TUMOR_MARKERS_UP	22	C2
WEST_ADRENOCORTICAL_TUMOR_MARKERS_DN	20	C2
WINTER_HYPOXIA_UP	95	C2
WINTER_HYPOXIA_DN	52	C2
PARENT_MTOR_SIGNALING_UP	568	C2
PARENT_MTOR_SIGNALING_DN	44	C2
PYEON_HPV_POSITIVE_TUMORS_UP	99	C2
PYEON_HPV_POSITIVE_TUMORS_DN	10	C2
NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_UP	284	C2
NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_DN	644	C2
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	211	C2
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_DN	137	C2
LU_TUMOR_VASCULATURE_UP	29	C2
LU_TUMOR_VASCULATURE_DN	13	C2
KORKOLA_EMBRYONAL_CARCINOMA_UP	42	C2
KORKOLA_EMBRYONAL_CARCINOMA_DN	13	C2
KORKOLA_TERATOMA_UP	17	C2
KORKOLA_YOLK_SAC_TUMOR_UP	20	C2
KORKOLA_CHORIOCARCINOMA_UP	6	C2
KORKOLA_CHORIOCARCINOMA_DN	11	C2
KORKOLA_SEMINOMA_UP	44	C2
KORKOLA_SEMINOMA_DN	13	C2
WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_UP	113	C2
WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_DN	93	C2
HOLLMANN_APOPTOSIS_VIA_CD40_UP	203	C2
HOLLMANN_APOPTOSIS_VIA_CD40_DN	267	C2
LIU_PROSTATE_CANCER_UP	98	C2
LIU_PROSTATE_CANCER_DN	491	C2
LIU_SOX4_TARGETS_UP	139	C2
LIU_SOX4_TARGETS_DN	310	C2
ONKEN_UVEAL_MELANOMA_UP	790	C2
ONKEN_UVEAL_MELANOMA_DN	529	C2
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP	206	C2
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN	180	C2
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	352	C2
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_DN	85	C2
DAVICIONI_PAX_FOXO1_SIGNATURE_IN_ARMS_UP	60	C2
DAVICIONI_PAX_FOXO1_SIGNATURE_IN_ARMS_DN	20	C2
FOURNIER_ACINAR_DEVELOPMENT_EARLY_UP	20	C2
FOURNIER_ACINAR_DEVELOPMENT_EARLY_DN	6	C2
FOURNIER_ACINAR_DEVELOPMENT_LATE_UP	11	C2
FOURNIER_ACINAR_DEVELOPMENT_LATE_DN	22	C2
NAM_FXYD5_TARGETS_DN	18	C2
FRASOR_TAMOXIFEN_RESPONSE_UP	51	C2
FRASOR_TAMOXIFEN_RESPONSE_DN	12	C2
KIM_RESPONSE_TO_TSA_AND_DECITABINE_UP	136	C2
KIM_RESPONSE_TO_TSA_AND_DECITABINE_DN	10	C2
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_UP	302	C2
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN	358	C2
WATANABE_COLON_CANCER_MSI_VS_MSS_UP	29	C2
WATANABE_COLON_CANCER_MSI_VS_MSS_DN	69	C2
KOBAYASHI_EGFR_SIGNALING_6HR_UP	7	C2
KOBAYASHI_EGFR_SIGNALING_6HR_DN	18	C2
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	154	C2
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_DN	53	C2
GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_UP	26	C2
GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_DN	467	C2
GAZDA_DIAMOND_BLACKFAN_ANEMIA_MYELOID_UP	30	C2
GAZDA_DIAMOND_BLACKFAN_ANEMIA_MYELOID_DN	39	C2
GAZDA_DIAMOND_BLACKFAN_ANEMIA_PROGENITOR_UP	39	C2
GAZDA_DIAMOND_BLACKFAN_ANEMIA_PROGENITOR_DN	66	C2
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_UP	147	C2
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_DN	402	C2
ZERBINI_RESPONSE_TO_SULINDAC_UP	9	C2
ZERBINI_RESPONSE_TO_SULINDAC_DN	6	C2
IGARASHI_ATF4_TARGETS_UP	5	C2
IGARASHI_ATF4_TARGETS_DN	98	C2
ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_UP	187	C2
ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_DN	71	C2
DAVICIONI_MOLECULAR_ARMS_VS_ERMS_UP	339	C2
DAVICIONI_MOLECULAR_ARMS_VS_ERMS_DN	179	C2
DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_UP	258	C2
DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_DN	66	C2
DAVICIONI_RHABDOMYOSARCOMA_PAX_FOXO1_FUSION_UP	64	C2
DAVICIONI_RHABDOMYOSARCOMA_PAX_FOXO1_FUSION_DN	14	C2
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_UP	402	C2
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_DN	174	C2
TURASHVILI_BREAST_NORMAL_DUCTAL_VS_LOBULAR_UP	66	C2
TURASHVILI_BREAST_NORMAL_DUCTAL_VS_LOBULAR_DN	7	C2
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_UP	46	C2
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	202	C2
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_LOBULAR_NORMAL_UP	73	C2
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_LOBULAR_NORMAL_DN	70	C2
TURASHVILI_BREAST_CARCINOMA_DUCTAL_VS_LOBULAR_UP	23	C2
TURASHVILI_BREAST_CARCINOMA_DUCTAL_VS_LOBULAR_DN	7	C2
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_UP	70	C2
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_DN	91	C2
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP	96	C2
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_DN	74	C2
CHANDRAN_METASTASIS_TOP50_UP	37	C2
CHANDRAN_METASTASIS_TOP50_DN	44	C2
WILCOX_RESPONSE_TO_PROGESTERONE_UP	153	C2
WILCOX_RESPONSE_TO_PROGESTERONE_DN	62	C2
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_UP	585	C2
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN	454	C2
GARY_CD5_TARGETS_UP	473	C2
GARY_CD5_TARGETS_DN	440	C2
ZHOU_INFLAMMATORY_RESPONSE_LIVE_UP	449	C2
ZHOU_INFLAMMATORY_RESPONSE_LIVE_DN	377	C2
SAMOLS_TARGETS_OF_KHSV_MIRNAS_UP	8	C2
SAMOLS_TARGETS_OF_KHSV_MIRNAS_DN	59	C2
HOOI_ST7_TARGETS_UP	92	C2
HOOI_ST7_TARGETS_DN	117	C2
PRAMOONJAGO_SOX4_TARGETS_UP	52	C2
PRAMOONJAGO_SOX4_TARGETS_DN	49	C2
PUIFFE_INVASION_INHIBITED_BY_ASCITES_UP	79	C2
PUIFFE_INVASION_INHIBITED_BY_ASCITES_DN	146	C2
PIEPOLI_LGI1_TARGETS_UP	17	C2
PIEPOLI_LGI1_TARGETS_DN	17	C2
THUM_SYSTOLIC_HEART_FAILURE_UP	429	C2
THUM_SYSTOLIC_HEART_FAILURE_DN	206	C2
CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_UP	173	C2
CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_DN	669	C2
CORRE_MULTIPLE_MYELOMA_UP	77	C2
CORRE_MULTIPLE_MYELOMA_DN	58	C2
HUTTMANN_B_CLL_POOR_SURVIVAL_UP	285	C2
HUTTMANN_B_CLL_POOR_SURVIVAL_DN	59	C2
DIAZ_CHRONIC_MEYLOGENOUS_LEUKEMIA_UP	1399	C2
DIAZ_CHRONIC_MEYLOGENOUS_LEUKEMIA_DN	117	C2
CASORELLI_APL_SECONDARY_VS_DE_NOVO_UP	39	C2
DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_UP	367	C2
DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_DN	324	C2
LIU_CMYB_TARGETS_UP	164	C2
LIU_CMYB_TARGETS_DN	6	C2
LIU_VMYB_TARGETS_UP	125	C2
LIU_TARGETS_OF_VMYB_VS_CMYB_UP	15	C2
LIU_TARGETS_OF_VMYB_VS_CMYB_DN	44	C2
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	385	C2
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN	455	C2
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP	453	C2
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	465	C2
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP	125	C2
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN	52	C2
DOANE_BREAST_CANCER_CLASSES_UP	71	C2
DOANE_BREAST_CANCER_CLASSES_DN	33	C2
DOANE_RESPONSE_TO_ANDROGEN_UP	184	C2
DOANE_RESPONSE_TO_ANDROGEN_DN	242	C2
DOANE_BREAST_CANCER_ESR1_UP	111	C2
DOANE_BREAST_CANCER_ESR1_DN	47	C2
WANG_RESPONSE_TO_ANDROGEN_UP	28	C2
WANG_RESPONSE_TO_FORSKOLIN_UP	22	C2
WANG_RESPONSE_TO_FORSKOLIN_DN	9	C2
TIMOFEEVA_GROWTH_STRESS_VIA_STAT1_DN	16	C2
LAIHO_COLORECTAL_CANCER_SERRATED_UP	115	C2
LAIHO_COLORECTAL_CANCER_SERRATED_DN	86	C2
BORCZUK_MALIGNANT_MESOTHELIOMA_UP	311	C2
BORCZUK_MALIGNANT_MESOTHELIOMA_DN	105	C2
ROY_WOUND_BLOOD_VESSEL_UP	50	C2
ROY_WOUND_BLOOD_VESSEL_DN	23	C2
GRABARCZYK_BCL11B_TARGETS_UP	81	C2
GRABARCZYK_BCL11B_TARGETS_DN	60	C2
NEWMAN_ERCC6_TARGETS_UP	26	C2
NEWMAN_ERCC6_TARGETS_DN	39	C2
HORIUCHI_WTAP_TARGETS_UP	308	C2
HORIUCHI_WTAP_TARGETS_DN	317	C2
GAL_LEUKEMIC_STEM_CELL_UP	128	C2
GAL_LEUKEMIC_STEM_CELL_DN	235	C2
CHOI_ATL_CHRONIC_VS_ACUTE_DN	19	C2
BASAKI_YBX1_TARGETS_UP	292	C2
BASAKI_YBX1_TARGETS_DN	392	C2
NOJIMA_SFRP2_TARGETS_UP	32	C2
NOJIMA_SFRP2_TARGETS_DN	26	C2
WIKMAN_ASBESTOS_LUNG_CANCER_UP	17	C2
WIKMAN_ASBESTOS_LUNG_CANCER_DN	30	C2
RODRIGUES_DCC_TARGETS_UP	6	C2
RODRIGUES_DCC_TARGETS_DN	119	C2
RODRIGUES_NTN1_TARGETS_UP	17	C2
RODRIGUES_NTN1_TARGETS_DN	160	C2
WANG_LMO4_TARGETS_UP	364	C2
WANG_LMO4_TARGETS_DN	357	C2
WANG_CLIM2_TARGETS_UP	261	C2
WANG_CLIM2_TARGETS_DN	181	C2
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP	176	C2
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_DN	145	C2
VECCHI_GASTRIC_CANCER_EARLY_UP	434	C2
VECCHI_GASTRIC_CANCER_EARLY_DN	380	C2
BARRIER_COLON_CANCER_RECURRENCE_UP	42	C2
BARRIER_COLON_CANCER_RECURRENCE_DN	19	C2
SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_UP	159	C2
SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_DN	5	C2
SLEBOS_HEAD_AND_NECK_CANCER_WITH_HPV_UP	79	C2
JAEGER_METASTASIS_UP	46	C2
JAEGER_METASTASIS_DN	258	C2
OSMAN_BLADDER_CANCER_UP	398	C2
OSMAN_BLADDER_CANCER_DN	423	C2
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_UP	68	C2
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_DN	333	C2
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_UP	109	C2
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_DN	184	C2
OSWALD_HEMATOPOIETIC_STEM_CELL_IN_COLLAGEN_GEL_UP	221	C2
OSWALD_HEMATOPOIETIC_STEM_CELL_IN_COLLAGEN_GEL_DN	280	C2
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_YELLOW_UP	32	C2
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_YELLOW_DN	23	C2
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_TURQUOISE_UP	83	C2
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_TURQUOISE_DN	56	C2
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_RED_UP	16	C2
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_RED_DN	26	C2
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_MAGENTA_UP	28	C2
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_MAGENTA_DN	12	C2
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_LIGHTYELLOW_UP	11	C2
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_GREEN_UP	26	C2
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_GREEN_DN	24	C2
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLUE_UP	139	C2
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLUE_DN	62	C2
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLACK_UP	35	C2
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLACK_DN	11	C2
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_GREY_UP	19	C2
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_GREY_DN	79	C2
RUNNE_GENDER_EFFECT_UP	9	C2
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_6HR_UP	86	C2
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_6HR_DN	44	C2
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP	183	C2
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_DN	30	C2
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_UP	156	C2
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_DN	204	C2
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_UP	194	C2
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_DN	150	C2
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_UP	177	C2
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_DN	127	C2
LOPEZ_MESOTELIOMA_SURVIVAL_TIME_UP	14	C2
LOPEZ_MESOTELIOMA_SURVIVAL_TIME_DN	7	C2
BOGNI_TREATMENT_RELATED_MYELOID_LEUKEMIA_UP	31	C2
BOGNI_TREATMENT_RELATED_MYELOID_LEUKEMIA_DN	33	C2
BILBAN_B_CLL_LPL_UP	64	C2
BILBAN_B_CLL_LPL_DN	42	C2
HOEBEKE_LYMPHOID_STEM_CELL_UP	97	C2
HOEBEKE_LYMPHOID_STEM_CELL_DN	88	C2
PEPPER_CHRONIC_LYMPHOCYTIC_LEUKEMIA_UP	32	C2
PEPPER_CHRONIC_LYMPHOCYTIC_LEUKEMIA_DN	22	C2
AKL_HTLV1_INFECTION_UP	27	C2
AKL_HTLV1_INFECTION_DN	69	C2
RHEIN_ALL_GLUCOCORTICOID_THERAPY_UP	76	C2
RHEIN_ALL_GLUCOCORTICOID_THERAPY_DN	368	C2
MULLIGHAN_NPM1_MUTATED_SIGNATURE_1_UP	262	C2
MULLIGHAN_NPM1_MUTATED_SIGNATURE_1_DN	125	C2
MULLIGHAN_NPM1_MUTATED_SIGNATURE_2_UP	129	C2
MULLIGHAN_NPM1_MUTATED_SIGNATURE_2_DN	76	C2
MULLIGHAN_MLL_SIGNATURE_1_UP	384	C2
MULLIGHAN_MLL_SIGNATURE_1_DN	238	C2
MULLIGHAN_MLL_SIGNATURE_2_UP	420	C2
MULLIGHAN_MLL_SIGNATURE_2_DN	278	C2
MULLIGHAN_NPM1_SIGNATURE_3_UP	332	C2
MULLIGHAN_NPM1_SIGNATURE_3_DN	161	C2
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_GRANULOCYTE_UP	15	C2
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_GRANULOCYTE_DN	7	C2
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_UP	184	C2
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_DN	193	C2
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_GRANULOCYTE_UP	54	C2
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_GRANULOCYTE_DN	18	C2
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_MONOCYTE_UP	203	C2
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_MONOCYTE_DN	56	C2
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_ERYTHROCYTE_UP	159	C2
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_ERYTHROCYTE_DN	18	C2
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_MONOCYTE_UP	21	C2
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_MONOCYTE_DN	10	C2
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINDED_IN_ERYTHROCYTE_UP	44	C2
LOPEZ_MESOTHELIOMA_SURVIVAL_WORST_VS_BEST_UP	14	C2
LOPEZ_MESOTHELIOMA_SURVIVAL_WORST_VS_BEST_DN	7	C2
PAPASPYRIDONOS_UNSTABLE_ATEROSCLEROTIC_PLAQUE_UP	53	C2
PAPASPYRIDONOS_UNSTABLE_ATEROSCLEROTIC_PLAQUE_DN	42	C2
DITTMER_PTHLH_TARGETS_UP	113	C2
DITTMER_PTHLH_TARGETS_DN	70	C2
UDAYAKUMAR_MED1_TARGETS_UP	135	C2
UDAYAKUMAR_MED1_TARGETS_DN	244	C2
ODONNELL_TFRC_TARGETS_UP	427	C2
ODONNELL_TFRC_TARGETS_DN	137	C2
ODONNELL_TARGETS_OF_MYC_AND_TFRC_UP	82	C2
ODONNELL_TARGETS_OF_MYC_AND_TFRC_DN	47	C2
SENESE_HDAC1_TARGETS_UP	451	C2
SENESE_HDAC1_TARGETS_DN	266	C2
SENESE_HDAC1_AND_HDAC2_TARGETS_UP	243	C2
SENESE_HDAC1_AND_HDAC2_TARGETS_DN	238	C2
SENESE_HDAC2_TARGETS_UP	116	C2
SENESE_HDAC2_TARGETS_DN	133	C2
SENESE_HDAC3_TARGETS_UP	494	C2
SENESE_HDAC3_TARGETS_DN	547	C2
LEE_NEURAL_CREST_STEM_CELL_UP	147	C2
LEE_NEURAL_CREST_STEM_CELL_DN	122	C2
HUMMEL_BURKITTS_LYMPHOMA_UP	43	C2
HUMMEL_BURKITTS_LYMPHOMA_DN	15	C2
TIEN_INTESTINE_PROBIOTICS_2HR_UP	30	C2
TIEN_INTESTINE_PROBIOTICS_2HR_DN	89	C2
TIEN_INTESTINE_PROBIOTICS_6HR_UP	53	C2
TIEN_INTESTINE_PROBIOTICS_6HR_DN	170	C2
TIEN_INTESTINE_PROBIOTICS_24HR_UP	561	C2
TIEN_INTESTINE_PROBIOTICS_24HR_DN	215	C2
ZHOU_INFLAMMATORY_RESPONSE_FIMA_UP	515	C2
ZHOU_INFLAMMATORY_RESPONSE_FIMA_DN	278	C2
ZHOU_INFLAMMATORY_RESPONSE_LPS_UP	406	C2
KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_UP	1289	C2
KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_DN	333	C2
SABATES_COLORECTAL_ADENOMA_SIZE_UP	23	C2
SABATES_COLORECTAL_ADENOMA_SIZE_DN	13	C2
SABATES_COLORECTAL_ADENOMA_UP	140	C2
SABATES_COLORECTAL_ADENOMA_DN	299	C2
SCIBETTA_KDM5B_TARGETS_UP	19	C2
SCIBETTA_KDM5B_TARGETS_DN	79	C2
NAGASHIMA_NRG1_SIGNALING_UP	172	C2
NAGASHIMA_NRG1_SIGNALING_DN	54	C2
NAGASHIMA_EGF_SIGNALING_UP	57	C2
KIM_WT1_TARGETS_UP	217	C2
KIM_WT1_TARGETS_DN	471	C2
KIM_WT1_TARGETS_8HR_UP	167	C2
KIM_WT1_TARGETS_8HR_DN	125	C2
KIM_WT1_TARGETS_12HR_UP	166	C2
KIM_WT1_TARGETS_12HR_DN	216	C2
ELVIDGE_HYPOXIA_UP	172	C2
ELVIDGE_HYPOXIA_DN	147	C2
ELVIDGE_HYPOXIA_BY_DMOG_UP	133	C2
ELVIDGE_HYPOXIA_BY_DMOG_DN	59	C2
ELVIDGE_HIF1A_TARGETS_UP	67	C2
ELVIDGE_HIF1A_TARGETS_DN	92	C2
ELVIDGE_HIF2A_TARGETS_UP	6	C2
ELVIDGE_HIF1A_AND_HIF2A_TARGETS_UP	41	C2
ELVIDGE_HIF1A_AND_HIF2A_TARGETS_DN	105	C2
JAATINEN_HEMATOPOIETIC_STEM_CELL_UP	321	C2
